session_id,transcript_quality,comment_or_hearing,segment_index,period_start_sentence_index,period_end_sentence_index,notes
bcb76b8452dd,good-safe-to-use,comment,2,171,230,
d8f7f881df9b,good-safe-to-use,comment,1,28,147,
d8f7f881df9b,good-safe-to-use,comment,2,387,398,
c6020f9288aa,good-safe-to-use,comment,1,10,15,
c6020f9288aa,good-safe-to-use,comment,2,241,255,
00d132adef13,good-safe-to-use,comment,1,250,380,Unsure end 
62c913923747,bad-do-not-use,,,,,
c03330bc7033,bad-do-not-use,,,,,
544e63fd62c5,good-safe-to-use,comment,1,209,474,
544e63fd62c5,good-safe-to-use,comment,2,777,903,
544e63fd62c5,good-safe-to-use,comment,3,1312,1410,
9c111c164143,good-safe-to-use,comment,1,105,329,
9c111c164143,good-safe-to-use,comment,2,1287,1333,
149be1e96b37,good-safe-to-use,comment,1,14,72,
149be1e96b37,good-safe-to-use,comment,2,421,450,
b99616e87f38,bad-do-not-use,,,,,
872e54682bdf,bad-do-not-use,,,,,
6dea40e44458,good-safe-to-use,comment,1,136,475,
6dea40e44458,good-safe-to-use,hearing,2,598,634,
6dea40e44458,good-safe-to-use,comment,3,1349,1383,
784fab0857d4,okay-use-if-needed,comment,1,16,154,Transcript cut off
784fab0857d4,okay-use-if-needed,comment,2,516,565,
2b73f46f2429,good-safe-to-use,comment,1,7,39,
2b73f46f2429,good-safe-to-use,comment,2,490,512,
a8cdb7d35a88,good-safe-to-use,comment,1,81,143,
a8cdb7d35a88,good-safe-to-use,comment,2,1042,1054,
e6355db8ae16,good-safe-to-use,comment,1,33,302,
e6355db8ae16,good-safe-to-use,hearing,2,943,981,
e6355db8ae16,good-safe-to-use,hearing,3,1103,1123,
e6355db8ae16,good-safe-to-use,hearing,4,1329,1350,
e6355db8ae16,good-safe-to-use,comment,5,1507,1523,
f779089cb37b,okay-use-if-needed,comment,1,9,51,
f779089cb37b,okay-use-if-needed,comment,2,382,405,Transcript cut off
fc88435b1f70,good-safe-to-use,comment,1,8,9,
fc88435b1f70,good-safe-to-use,hearing,2,11,12,
fc88435b1f70,good-safe-to-use,hearing,3,43,44,
fc88435b1f70,good-safe-to-use,hearing,4,53,69,
fc88435b1f70,good-safe-to-use,hearing,5,71,84,
fc88435b1f70,good-safe-to-use,comment,6,90,116,
fc88435b1f70,good-safe-to-use,hearing,7,124,125,
fc88435b1f70,good-safe-to-use,hearing,8,137,138,
fc88435b1f70,good-safe-to-use,hearing,9,140,171,
fc88435b1f70,good-safe-to-use,hearing,10,184,326,
fc88435b1f70,good-safe-to-use,comment,11,362,369,Not good end
fb064f062166,good-safe-to-use,comment,1,18,63,
fb064f062166,good-safe-to-use,comment,2,231,243,
fac34684cfcf,good-safe-to-use,comment,1,153,383,
fac34684cfcf,good-safe-to-use,comment,2,1270,1313,
f5125c773d51,good-safe-to-use,comment,1,49,432,
f5125c773d51,good-safe-to-use,comment,2,1166,1196,
f5125c773d51,okay-use-if-needed,comment,1,7,8,Not good end
edd13494e277,good-safe-to-use,comment,1,13,236,Council member counted as skeaper
edd13494e277,good-safe-to-use,comment,2,538,568,
eb1e231995de,good-safe-to-use,comment,1,12,139,
eb1e231995de,okay-use-if-needed,comment,2,341,375,Ending cut off
ea21be87789c,good-safe-to-use,comment,1,10,80,
ea21be87789c,good-safe-to-use,comment,2,553,594,
e9178ba90b38,good-safe-to-use,comment,1,9,44,
e9178ba90b38,good-safe-to-use,comment,2,415,443,
e411abf39fea,bad-do-not-use,,,,,
e92fcf9feb6b,okay-use-if-needed,comment,1,13,29,
e92fcf9feb6b,okay-use-if-needed,comment,2,298,307,
e72fd9ec7f60,good-safe-to-use,comment,1,25,801,
e72fd9ec7f60,good-safe-to-use,comment,2,1448,1546,
e50e941cb927,good-safe-to-use,comment,1,7,53,
e50e941cb927,good-safe-to-use,comment,2,267,341,
e23a9259bd30,good-safe-to-use,comment,1,27,52,
e23a9259bd30,good-safe-to-use,hearing,2,71,200,Normal language v. sentence right before 
e23a9259bd30,good-safe-to-use,hearing,3,417,809,Normal language v. sentence right before 
e23a9259bd30,good-safe-to-use,hearing,4,895,973,
e23a9259bd30,good-safe-to-use,hearing,5,989,1189,
e23a9259bd30,good-safe-to-use,hearing,6,1220,1432,
e23a9259bd30,good-safe-to-use,hearing,7,1480,1582,
e23a9259bd30,good-safe-to-use,hearing,8,1825,2188,Combined hearings 
dfd3c9be4dc4,good-safe-to-use,comment,1,19,269,
dfd3c9be4dc4,good-safe-to-use,hearing,2,420,515,
dfd3c9be4dc4,good-safe-to-use,hearing,3,634,781,
dfd3c9be4dc4,good-safe-to-use,hearing,4,914,1164,
dfd3c9be4dc4,good-safe-to-use,comment,5,1812,1857,Cut off
ddd5392cec83,okay-use-if-needed,comment,1,3,433,
ddd5392cec83,okay-use-if-needed,comment,2,1250,1285,
dd395a92b3ae,good-safe-to-use,comment,1,39,204,
dd395a92b3ae,good-safe-to-use,comment,2,969,1012,
d8d8a6a90bc2,bad-do-not-use,,,,,
dd70c683626b,bad-do-not-use,,,,,
da34636fa515,bad-do-not-use,,,,,
d7942db1910e,good-safe-to-use,comment,1,9,12,Cut off
d7942db1910e,good-safe-to-use,comment,2,62,77,
d7942db1910e,good-safe-to-use,hearing,3,79,110,
d7942db1910e,good-safe-to-use,hearing,4,152,228,
d7942db1910e,good-safe-to-use,hearing,5,229,230,
d7942db1910e,good-safe-to-use,hearing,6,307,315,
d7942db1910e,good-safe-to-use,hearing,7,385,386,
d7747fd119a3,good-safe-to-use,comment,1,267,334,
d7747fd119a3,good-safe-to-use,hearing,2,340,364,
d7747fd119a3,good-safe-to-use,hearing,3,403,423,
d7747fd119a3,good-safe-to-use,comment,4,442,465,
d4a641a3abb4,good-safe-to-use,comment,1,5,42,cut off
d4a641a3abb4,good-safe-to-use,comment,2,293,345,
cfb96e89ee1d,bad-do-not-use,,,,,
d2b86434f9ff,good-safe-to-use,comment,1,24,154,
d2b86434f9ff,good-safe-to-use,comment,2,322,395,
d0a9aa69ba27,good-safe-to-use,comment,1,53,261,
d0a9aa69ba27,good-safe-to-use,comment,2,999,1046,
cf828e921a4e,good-safe-to-use,comment,1,0,241,begining cut off
cf828e921a4e,good-safe-to-use,hearing,2,361,418,
cf828e921a4e,good-safe-to-use,hearing,3,630,665,
cf828e921a4e,good-safe-to-use,comment,4,2027,2071,
cf8c4f80615b,good-safe-to-use,comment,1,23,37,ty
cf8c4f80615b,good-safe-to-use,hearing,2,131,156,cut off
cf8c4f80615b,good-safe-to-use,hearing,3,197,301,
cf8c4f80615b,good-safe-to-use,hearing,4,382,598,ty
cf8c4f80615b,good-safe-to-use,comment,5,680,724,
be2da71a2b9c,bad-do-not-use,,,,,
cf5c50893547,good-safe-to-use,comment,1,13,179,
cf5c50893547,good-safe-to-use,comment,2,729,784,
ce990767fcd4,good-safe-to-use,comment,1,12,88,
ce990767fcd4,good-safe-to-use,comment,2,327,361,Ending cut off
ce13df196e58,good-safe-to-use,comment,1,34,84,
ce13df196e58,good-safe-to-use,comment,2,935,964,
ca33bada528c,good-safe-to-use,comment,1,8,163,
ca33bada528c,good-safe-to-use,comment,2,563,582,
c1762edb4651,good-safe-to-use,comment,1,11,43,
c1762edb4651,good-safe-to-use,comment,2,164,216,
c658b9361f53,good-safe-to-use,comment,1,62,388,
c658b9361f53,good-safe-to-use,hearing,2,662,1147,
c658b9361f53,good-safe-to-use,comment,3,1646,1763,
c268b4f107d4,good-safe-to-use,comment,1,11,40,
c268b4f107d4,good-safe-to-use,comment,2,267,293,
c07a2b7b29e7,good-safe-to-use,comment,1,11,110,
c07a2b7b29e7,good-safe-to-use,comment,2,751,792,
c0ff2306feed,good-safe-to-use,comment,1,10,93,
c0ff2306feed,good-safe-to-use,comment,2,397,420,
bb33a42b7397,bad-do-not-use,,,,,
ba15b9b216c3,good-safe-to-use,comment,1,163,354,
ba15b9b216c3,good-safe-to-use,comment,2,560,615,
b392f9acabd9,good-safe-to-use,comment,1,457,496,
b79de79f51a8,bad-do-not-use,,,,,
b66f2a519bc6,good-safe-to-use,comment,1,11,175,
b66f2a519bc6,good-safe-to-use,hearing,2,432,493,
b66f2a519bc6,good-safe-to-use,comment,3,530,560,
b59fae0b69f0,good-safe-to-use,comment,1,11,91,
b59fae0b69f0,good-safe-to-use,comment,2,254,313,
b53dfb351a80,good-safe-to-use,comment,1,65,156,
b41ee128bb4c,good-safe-to-use,hearing,1,32,166,
b41ee128bb4c,good-safe-to-use,hearing,2,267,277,not good end
b41ee128bb4c,good-safe-to-use,comment,3,343,410,
b9d22f4e51f8,good-safe-to-use,comment,1,56,201,
b9d22f4e51f8,good-safe-to-use,comment,2,1327,1371,
b8e726c48329,good-safe-to-use,comment,1,23,60,
b8e726c48329,good-safe-to-use,comment,2,379,402,not good end
adf56d9e697a,bad-do-not-use,,,,,
b7dd2a13858e,okay-use-if-needed,comment,1,290,634,
b7dd2a13858e,okay-use-if-needed,hearing,2,729,814,
b7dd2a13858e,okay-use-if-needed,hearing,3,1025,1062,not goot end
b7dd2a13858e,okay-use-if-needed,comment,4,1089,1140,
aeeea8a2e2cd,good-safe-to-use,comment,1,9,70,
aeeea8a2e2cd,good-safe-to-use,comment,2,403,424,
ae363bcb5628 ,bad-do-not-use,,,,,
ad94fd3e7217,good-safe-to-use,comment,1,15,32,
ad94fd3e7217,good-safe-to-use,comment,2,342,372,
a70fec1d8a98,bad-do-not-use,,,,,
ab5cd8baf3ee,good-safe-to-use,comment,1,9,81,end cut off
ab5cd8baf3ee,good-safe-to-use,comment,2,248,301,
a293961f6304,good-safe-to-use,comment,1,12,36,
a293961f6304,good-safe-to-use,comment,2,234,263,
a57493b08f1a,good-safe-to-use,comment,1,12,313,
a57493b08f1a,good-safe-to-use,comment,2,679,707,transcipt cut off
a7c3c3d82914,good-safe-to-use,comment,1,15,61,
a7c3c3d82914,good-safe-to-use,hearing,2,179,265,
a7c3c3d82914,good-safe-to-use,comment,3,348,371,
a1ff4bd3d11a,bad-do-not-use,,,,,
065559be3448,bad-do-not-use,,,,,
97876eb4a3ad,bad-do-not-use,,,,,
253792da4818,bad-do-not-use,,,,,
305206111329,good-safe-to-use,comment,1,21,217,
,good-safe-to-use,,,331,,
,good-safe-to-use,,,781,,
270600240eaf,good-safe-to-use,comment,1,39,,
270600240eaf,good-safe-to-use,comment,2,327,359,
90760648a742,good-safe-to-use,comment,1,15,33,
90760648a742,good-safe-to-use,comment,2,396,415,
45823415fad8,good-safe-to-use,comment,1,34,54,
45823415fad8,good-safe-to-use,comment,2,371,389,
362390ef8e0e,good-safe-to-use,comment,1,47,241,
362390ef8e0e,good-safe-to-use,hearing,2,369,390,
362390ef8e0e,good-safe-to-use,hearing,3,452,468,
362390ef8e0e,good-safe-to-use,hearing,4,580,596,end cut off
362390ef8e0e,good-safe-to-use,hearing,5,645,658,
362390ef8e0e,good-safe-to-use,hearing,6,714,735,
362390ef8e0e,good-safe-to-use,hearing,7,794,803,
362390ef8e0e,good-safe-to-use,hearing,8,856,862,
362390ef8e0e,good-safe-to-use,hearing,9,985,1016,
362390ef8e0e,good-safe-to-use,comment,10,1757,1789,
65860ce8a978,good-safe-to-use,comment,1,18,101,
65860ce8a978,good-safe-to-use,comment,2,537,559,end cut off
330390b700ea,bad-do-not-use,,,,,
63423e04c986,good-safe-to-use,comment,1,9,32,
63423e04c986,good-safe-to-use,comment,2,137,148,ending cut off
23317fc4033e,good-safe-to-use,comment,1,10,329,
23317fc4033e,good-safe-to-use,comment,2,741,819,
8656ee9a1a2c,good-safe-to-use,comment,1,8,55,
8656ee9a1a2c,good-safe-to-use,comment,2,360,394,
7756a362ae43,good-safe-to-use,comment,1,110,494,
7756a362ae43,good-safe-to-use,hearing,2,657,679,
7756a362ae43,good-safe-to-use,hearing,3,802,847,
7756a362ae43,good-safe-to-use,hearing,4,881,914,
7688c8f80621,good-safe-to-use,comment,1,18,51,
7688c8f80621,good-safe-to-use,comment,2,247,283,end cut off
5631cb398b0d,good-safe-to-use,comment,1,13,45,
5631cb398b0d,good-safe-to-use,comment,2,223,251,
4545d6986752,good-safe-to-use,comment,1,13,34,bad end
1540b4404f96,good-safe-to-use,comment,1,12,60,
1540b4404f96,good-safe-to-use,comment,2,305,377,
990de9e8281b,good-safe-to-use,comment,1,33,95,
990de9e8281b,good-safe-to-use,hearing,2,235,285,
990de9e8281b,good-safe-to-use,hearing,3,513,543,
990de9e8281b,good-safe-to-use,comment,4,962,998,
89bfa0cd7de0,good-safe-to-use,comment,1,26,112,
89bfa0cd7de0,good-safe-to-use,hearing,2,148,190,
89bfa0cd7de0,good-safe-to-use,hearing,3,230,231,
89bfa0cd7de0,good-safe-to-use,comment,4,202,217,
87eeeac8f2f3,good-safe-to-use,comment,1,259,263,
87eeeac8f2f3,good-safe-to-use,hearing,2,298,410,
87eeeac8f2f3,good-safe-to-use,hearing,3,473,511,
87eeeac8f2f3,good-safe-to-use,hearing,4,620,711,
87eeeac8f2f3,good-safe-to-use,comment,5,737,788,
98ced11d009c,good-safe-to-use,comment,1,16,66,
98ced11d009c,good-safe-to-use,comment,2,487,530,end cut off 
239d9f232ae8,good-safe-to-use,comment,1,43,367,
239d9f232ae8,good-safe-to-use,comment,2,1082,1106,
285e3f8e1912,bad-do-not-use,,,,,
0299ce4a6e05,good-safe-to-use,comment,1,13,20,
0299ce4a6e05,good-safe-to-use,comment,2,248,264,
349e4321d8c5,good-safe-to-use,comment,1,13,123,
349e4321d8c5,good-safe-to-use,comment,2,504,554,
580a657823c3,good-safe-to-use,comment,1,10,,
580a657823c3,good-safe-to-use,hearing,2,448,503,
621e15a0dcae,good-safe-to-use,comment,1,15,133,
621e15a0dcae,good-safe-to-use,comment,2,478,518,end cut off
665c49a5c41d,good-safe-to-use,comment,1,78,,
665c49a5c41d,good-safe-to-use,comment,2,1882,1904,
,,,1,9,167,
4ea09176ef79,good-safe-to-use,comment,1,21,5,
4ea09176ef79,good-safe-to-use,comment,1,5,9,
4ea09176ef79,good-safe-to-use,hearing,2,73,85,
4ea09176ef79,good-safe-to-use,hearing,3,97,118,
4ea09176ef79,good-safe-to-use,comment,4,121,135,
4a2a3ed9f3c7,good-safe-to-use,comment,1,92,105,
3e28ce46756e,good-safe-to-use,comment,1,231,246,
3e28ce46756e,good-safe-to-use,hearing,2,454,480,ex. council mem
3e28ce46756e,good-safe-to-use,hearing,3,534,547,ex. council mem
3e28ce46756e,good-safe-to-use,hearing,4,696,697,
3e28ce46756e,good-safe-to-use,hearing,5,755,781,
3e28ce46756e,good-safe-to-use,hearing,6,1181,1207,
3e28ce46756e,good-safe-to-use,comment,7,1261,1361,
3a68edd6f3d4,good-safe-to-use,comment,1,165,283,
3a68edd6f3d4,good-safe-to-use,comment,2,559,589,
2e97919fe976,good-safe-to-use,comment,1,11,69,
2e97919fe976,good-safe-to-use,comment,2,471,509,
2d783c37e574,good-safe-to-use,comment,1,146,653,
2d783c37e574,good-safe-to-use,hearing,2,747,796,
2d783c37e574,good-safe-to-use,hearing,3,889,906,
2d783c37e574,good-safe-to-use,hearing,4,1247,1258,
2d783c37e574,good-safe-to-use,hearing,5,1281,1301,
2d783c37e574,good-safe-to-use,comment,6,1393,1572,
2c7879434a8b,good-safe-to-use,comment,1,10,35,
2c7879434a8b,good-safe-to-use,hearing,2,261,284,
2c3e4c78c4f3,okay-use-if-needed,hearing,1,92,332,cut off
2c3e4c78c4f3,okay-use-if-needed,hearing,2,409,443,cut off
2c3e4c78c4f3,okay-use-if-needed,hearing,3,486,522,cut off
2c3e4c78c4f3,okay-use-if-needed,comment,4,598,673,cut off
2c0b027f01a1,good-safe-to-use,comment,1,101,184,
2c0b027f01a1,good-safe-to-use,hearing,2,633,736,
2c0b027f01a1,good-safe-to-use,comment,3,774,909,
1d95836dbbb5,good-safe-to-use,comment,1,600,651,
4fca769186e0,good-safe-to-use,comment,1,48,63,
4fca769186e0,good-safe-to-use,hearing,2,161,209,
4fca769186e0,good-safe-to-use,hearing,3,344,364,
4fca769186e0,good-safe-to-use,hearing,4,433,461,
4fca769186e0,good-safe-to-use,hearing,5,496,555,
4fca769186e0,good-safe-to-use,comment,6,686,701,
1a8a78da9c02,good-safe-to-use,comment,1,9,167,
1a8a78da9c02,good-safe-to-use,comment,2,387,462,
5ac7c6936512,good-safe-to-use,comment,1,35,605,
5ac7c6936512,good-safe-to-use,comment,2,1407,1559,
5f15beeac0dd,bad-do-not-use,,,,,
6f4b801b330b,good-safe-to-use,comment,1,24,76,
6f4b801b330b,good-safe-to-use,comment,2,654,656,
6e007e64ed52,good-safe-to-use,comment,1,21,347,
6e007e64ed52,good-safe-to-use,comment,2,741,798,
6d453051d136,good-safe-to-use,comment,1,45,345,
6d453051d136,good-safe-to-use,comment,2,967,1028,
6d40c208dd76,good-safe-to-use,comment,1,13,39,
6d40c208dd76,good-safe-to-use,comment,2,393,422,
5e4dcb4f6671,good-safe-to-use,comment,1,14,192,
5e4dcb4f6671,good-safe-to-use,comment,2,277,384,
5dd23f23d265,good-safe-to-use,comment,1,18,163,
5dd23f23d265,good-safe-to-use,comment,2,692,790,
6e8e3394a044,good-safe-to-use,comment,1,75,93,
6e8e3394a044,good-safe-to-use,comment,2,97,126,bad end
6e8e3394a044,good-safe-to-use,hearing,3,128,150,
6e8e3394a044,good-safe-to-use,hearing,4,296,355,
6e8e3394a044,good-safe-to-use,hearing,5,409,434,
6e8e3394a044,good-safe-to-use,hearing,6,454,497,
6e8e3394a044,good-safe-to-use,hearing,7,566,591,
6e8e3394a044,good-safe-to-use,hearing,8,766,782,
8a04ab73bc6c,good-safe-to-use,comment,1,11,58,
8a04ab73bc6c,good-safe-to-use,comment,2,277,322,
7d128ea544d6,good-safe-to-use,comment,1,25,53,
7d128ea544d6,good-safe-to-use,comment,2,104,148,
7b3893c7f091,good-safe-to-use,comment,1,65,214,
7b3893c7f091,good-safe-to-use,comment,2,1035,1076,
7b2fd03094be,good-safe-to-use,comment,1,113,485,
7b2fd03094be,good-safe-to-use,hearing,2,1058,1116,end cut off 
7b2fd03094be,good-safe-to-use,comment,3,1559,1583,
6fb6a975adeb,good-safe-to-use,comment,1,11,103,
6fb6a975adeb,good-safe-to-use,comment,2,271,299,
8adccbd08625,bad-do-not-use,,,,,
8f547394e719,bad-do-not-use,,,,,
8cdba4bbe55e,good-safe-to-use,comment,1,9,92,
8cdba4bbe55e,good-safe-to-use,comment,2,613,651,
8ed2d835ef2b,good-safe-to-use,comment,1,114,52,
8ed2d835ef2b,good-safe-to-use,comment,2,453,469,
8e227cc4e51b,good-safe-to-use,comment,1,65,463,
8e227cc4e51b,good-safe-to-use,comment,2,1165,1241,
18d9c4e043cd,good-safe-to-use,comment,1,21,372,
18d9c4e043cd,good-safe-to-use,comment,2,995,1021,
09eba8593d98,good-safe-to-use,comment,1,26,108,
09eba8593d98,good-safe-to-use,comment,2,649,655,
9e0a1fddaff8,good-safe-to-use,comment,1,13,187,
9e0a1fddaff8,good-safe-to-use,comment,2,746,778,
9cbccf9062ce,good-safe-to-use,comment,1,12,71,
9cbccf9062ce,good-safe-to-use,comment,2,555,616,
9bb5281f8d0e,good-safe-to-use,comment,1,12,34,
9bb5281f8d0e,good-safe-to-use,comment,2,433,476,
20ac671cad9e,good-safe-to-use,comment,1,63,202,
20ac671cad9e,good-safe-to-use,comment,2,475,756,
20ac671cad9e,good-safe-to-use,comment,3,3106,3298,
27a0576ee1ad,bad-do-not-use,,,,,
37f230e995b5,good-safe-to-use,comment,1,14,46,
37f230e995b5,good-safe-to-use,comment,2,404,435,
38c51d8edbba,good-safe-to-use,comment,1,14,42,
38c51d8edbba,good-safe-to-use,comment,2,212,236,
